"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-09-19",,,,,,,"0.00",",,0,1800","0.0","P,,0,","0.0","P,,0,1800","64",",,0","41",",,0","59",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-09-20",,,,,,,"0.00",",,0,1800","0.0",",,0,","0.0",",,0,1800","65",",,0","39",",,0","60",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-09-21",,,,,,,"0.00",",,0,1800","0.0",",,0,","0.0",",,0,1800","66",",,0","43",",,0","60",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-09-22",,,,,,,"0.37",",,0,1800","0.0",",,0,","0.0",",,0,1800","60",",,0","46",",,0","46",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-09-23",,,,,,,"0.50",",,0,1800","0.1",",,0,","0.0",",I,0,1800","49",",,0","37",",,0","37",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-09-24",,,,,,,"0.90",",,0,1800","5.5",",I,0,","8.0",",I,0,1800","37",",,0","23",",,0","23",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-09-25",,,,,,,"0.00",",,0,1800","0.0","P,,0,",,,"44",",,0","19",",,0","41",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-09-26",,,,,,,"0.00",",,0,1800","0.0","P,,0,",,,"51",",,0","28",",,0","49",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-09-27",,,,,,,"0.00",",,0,1800","0.0",",,0,","0.0",",,0,1800","60",",,0","28",",,0","49",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-09-28",,,,,,,"0.00",",,0,1800","0.0","P,,0,","0.0","P,,0,1800","57",",,0","44",",,0","53",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-09-29",,,,,,,"0.55",",,0,1800","4.0",",,0,","4.0",",,0,1800","53",",,0","23",",,0","23",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-09-30",,,,,,,"0.36",",,0,1800","3.0",",,0,","1.0",",,0,1800","56",",,0","16",",,0",,,,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-10-01",,,,,,,"0.00",",,0,1800","0.0",",,0,","0.0",",,0,1800","53",",,0","37",",,0","37",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-10-02",,,,,,,"0.37",",,0,1800","1.0",",,0,","0.0","T,,0,1800","50",",,0","20",",,0","49",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-10-03",,,,,,,"0.00",",,0,1800","0.0",",,0,","0.0",",,0,1800","58",",,0","38",",,0","56",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-10-04",,,,,,,"0.00",",,0,1800","0.0",",,0,","0.0",",,0,1800","60",",,0","46",",,0","55",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-10-05",,,,,,,"0.38",",,0,1800","0.0","T,,0,","0.0","T,,0,1800","59",",,0","33",",,0","33",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-10-06",,,,,,,"0.92",",,0,1800","10.0",",,0,","10.0",",,0,1800","33",",,0","24",",,0","24",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-10-07",,,,,,,"0.00","T,,0,1800","0.0","T,,0,","9.0",",,0,1800","30",",,0","20",",,0","27",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-10-08",,,,,,,"0.00",",,0,1800","0.0",",,0,","6.0",",,0,1800","56",",,0","23",",,0","46",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-10-11",,,,,,,"0.00",",,0,1800","0.0",",,0,","0.0",",,0,1800","62",",,0","30",",,0","48",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-10-12",,,,,,,"0.00",",,0,1800","0.0",",,0,","0.0",",,0,1800","55",",,0","38",",,0","46",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-10-13",,,,,,,"0.46",",,0,1800","1.5",",,0,","1.0",",,0,1800","46",",,0","32",",,0","32",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-10-14",,,,,,,"0.00",",,0,1800","0.0",",,0,","0.0",",,0,1800","46",",,0","32",",,0","36",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-10-15",,,,,,,"0.00",",,0,1800","0.0",",,0,","0.0",",,0,1800","52",",,0","29",",,0","42",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-10-16",,,,,,,"0.01",",,0,1800","0.0",",,0,","0.0",",,0,1800","47",",,0","35",",,0","36",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-10-17",,,,,,,"0.93",",,0,1800","7.0",",,0,","9.0",",,0,1800","36",",,0","23",",,0","24",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-10-18",,,,,,,"1.12",",,0,1800","12.0",",,0,","16.0",",,0,1800","36",",,0","20",",,0","28",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-10-19",,,,,,,"0.00",",,0,1800","0.0",",,0,","8.0",",,0,1800","53",",,0","28",",,0","51",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-10-20",,,,,,,"0.00",",,0,1800","0.0",",,0,","3.0",",,0,1800","51",",,0","22",",,0","22",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-10-21",,,,,,,"0.50",",,0,1800","7.5",",,0,","9.0",",,0,1800","22",",,0","18",",,0","21",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-10-22",,,,,,,"0.00",",,0,1800","0.0",",,0,","7.0",",,0,1800","35",",,0","13",",,0","32",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-10-23",,,,,,,"0.00",",,0,1800","0.0",",,0,","3.0",",,0,1800","58",",,0","30",",,0","56",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-10-24",,,,,,,"0.00",",,0,1800","0.0",",,0,","0.0","T,,0,1800","64",",,0","40",",,0","58",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-10-25",,,,,,,"0.00",",,0,1800","0.0",",,0,","0.0",",,0,1800","60",",,0","38",",,0","48",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-10-26",,,,,,,"0.00",",,0,1800","0.0",",,0,","0.0",",,0,1800","55",",,0","40",",,0","50",",,0,1800",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.59058","-111.63703","2654.8","2007-10-27",,,,,,,"0.00",",,0,1800","0.0",",,0,",,,,,,,,,,,,,,,,,,,,
