"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-09-19","0.00",",,T","0.0",",,T","52",",,T","60",",,T","47",",,T","49",",,T","0.0",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-09-20","0.00",",,T","0.0",",,T","53",",,T","61",",,T","45",",,T","51",",,T","0.0",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-09-21","0.00",",,T","0.0",",,T","54",",,T","62",",,T","49",",,T","54",",,T","0.0",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-09-22","0.70",",,T","0.0",",,T","50",",,T","56",",,T","43",",,T","44",",,T","0.0",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-09-23","0.40",",,T","3.0",",,T","37",",,T","44",",,T","29",",,T","29",",,T","0.4",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-09-24","0.50",",,T","4.0",",,T","29",",,T","35",",,T","26",",,T","28",",,T","0.5",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-09-25","0.00",",,T","0.0",",,T","35",",,T","45",",,T","26",",,T","35",",,T","0.0",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-09-26","0.30",",,T","0.0",",,T","42",",,T","50",",,T","33",",,T","42",",,T","0.0",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-09-27","0.00",",,T","0.0",",,T","49",",,T","56",",,T","42",",,T","49",",,T","0.0",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-09-28","0.00",",,T","0.0",",,T","50",",,T","54",",,T","46",",,T","46",",,T","0.0",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-09-29","0.80",",,T","4.0",",,T",,,"46",",,T",,,,,"0.5",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-09-30","0.00",",,T","0.0",",,T","42",",,T","53",",,T","21",",,T","48",",,T","0.0",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-10-01","0.10",",,T","0.0",",,T","42",",,T","50",",,T","29",",,T","30",",,T","0.0",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-10-02","0.00",",,T","0.0",",,T","39",",,T","49",",,T","26",",,T","48",",,T","0.0",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-10-03","0.00",",,T","0.0",",,T","50",",,T","54",",,T","46",",,T","46",",,T","0.0",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-10-04","0.00",",,T","0.0",",,T","50",",,T","56",",,T","45",",,T","48",",,T","0.0",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-10-05","1.20",",,T","8.0",",,T","40",",,T","49",",,T","28",",,T","28",",,T","1.2",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-10-06","1.10",",,T","14.0",",,T","26",",,T","35",",,T","24",",,T","24",",,T","1.9",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-10-07","0.20",",,T","10.0",",,T","28",",,T","35",",,T","21",",,T","34",",,T","1.7",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-10-08","0.00",",,T","6.0",",,T","44",",,T","53",",,T","33",",,T","48",",,T","1.5",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-10-09","0.00",",,T","3.0",",,T","49",",,T","58",",,T","44",",,T","48",",,T","1.3",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-10-10","0.00",",,T","2.0",",,T","47",",,T","56",",,T","36",",,T","36",",,T","0.5",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-10-11","0.00",",,T","1.0",",,T","44",",,T","51",",,T","35",",,T","46",",,T","0.2",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-10-12","0.00",",,T","0.0",",,T","44",",,T","52",",,T","36",",,T","36",",,T","0.0",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-10-13","0.40",",,T","1.0",",,T","35",",,T","38",",,T","33",",,T","36",",,T","0.3",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-10-14","0.10",",,T","1.0",",,T","38",",,T","46",",,T","34",",,T","36",",,T","0.2",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-10-15","0.00",",,T","0.0",",,T","42",",,T","48",",,T","34",",,T","41",",,T","0.0",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-10-16","0.60",",,T","4.0",",,T","38",",,T","45",",,T","31",",,T","31",",,T","0.5",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-10-17","1.30",",,T","14.0",",,T","27",",,T","31",",,T","23",",,T","23",",,T","1.6",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-10-18","0.40",",,T","13.0",",,T","28",",,T","38",",,T","20",",,T","37",",,T","1.8",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-10-19","0.40",",,T","6.0",",,T","46",",,T","53",",,T","37",",,T","45",",,T","1.9",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-10-20","0.30",",,T","16.0",",,T","30",",,T","46",",,T","19",",,T","20",",,T","2.8",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-10-21","0.60",",,T","15.0",",,T","22",",,T","30",",,T","18",",,T","21",",,T","3.0",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-10-22","0.10",",,T","13.0",",,T","32",",,T","40",",,T","20",",,T","39",",,T","3.0",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-10-23","0.00",",,T","10.0",",,T","47",",,T","56",",,T","36",",,T","52",",,T","3.0",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-10-24","0.00",",,T","10.0",",,T","54",",,T","63",",,T","48",",,T","50",",,T","2.8",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-10-25","0.00",",,T","8.0",",,T","51",",,T","57",",,T","47",",,T","49",",,T","2.7",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-10-26","0.00",",,T","9.0",",,T","47",",,T","54",",,T","42",",,T","42",",,T","2.7",",,T"
"USS0011J42S","SNOWBIRD, UT US","40.56","-111.66","2938.3","2007-10-27","0.00",",,T","9.0",",,T","45",",,T","52",",,T","41",",,T","43",",,T","2.7",",,T"
